code,description,category
0944,Bait Operation,Circumstances
0945,Estes Robbery,Circumstances
0946,Gang Feud,Circumstances
0947,Motorized Rental Scooter/Bike (Bird/Lime/etc),Circumstances
1000,Suspects offers/solicits,Suspect Solicitation
1001,Aid for vehicle,Suspect Solicitation
1002,Amusement,Suspect Solicitation
1003,Appraise,Suspect Solicitation
1004,Assistant,Suspect Solicitation
1005,Audition,Suspect Solicitation
1006,Bless,Suspect Solicitation
1007,Candy,Suspect Solicitation
1008,Cigarette,Suspect Solicitation
1009,Directions,Suspect Solicitation
1010,Drink (not liquor),Suspect Solicitation
1011,Employment,Suspect Solicitation
1012,Find a job,Suspect Solicitation
1013,Food,Suspect Solicitation
1014,Game,Suspect Solicitation
1015,Gift,Suspect Solicitation
1016,Hold for safekeeping,Suspect Solicitation
1017,Information,Suspect Solicitation
1018,Liquor,Suspect Solicitation
1019,Money,Suspect Solicitation
1020,Narcotics,Suspect Solicitation
1021,Repair,Suspect Solicitation
1022,Ride,Suspect Solicitation
1023,Subscriptions,Suspect Solicitation
1024,Teach,Suspect Solicitation
1025,Train,Suspect Solicitation
1026,Use the phone or toilet,Suspect Solicitation
1027,Change,Suspect Solicitation
1028,Suspect solicits time of day,Suspect Solicitation
1100,Shots Fired,Shots Fired
1101,Shots Fired (Animal) - Animal Services,Shots Fired
1201,Absent-advertised in paper,Victim Characteristics
1202,Victim was aged (60 & over) or blind/physically disabled/unable to care for self,Victim Characteristics
1203,Victim of crime past 12 months,Victim Characteristics
1204,Moving,Victim Characteristics
1205,On Vacation/Tourist,Victim Characteristics
1206,Under influence drugs/liquor,Victim Characteristics
1207,Hitchhiker,Victim Characteristics
1208,Victim was undocumented alien,Victim Characteristics
1209,Salesman - Jewelry,Victim Characteristics
1210,Professional (doctor/Lawyer/etc.),Victim Characteristics
1211,Public Official,Victim Characteristics
1212,LA Police Officer,Victim Characteristics
1213,LA Fireman,Victim Characteristics
1214,Banking - ATM,Victim Characteristics
1215,Prostitute,Victim Characteristics
1216,Sales,Victim Characteristics
1217,Teenager (Use if victim's age is unknown),Victim Characteristics
1218,Victim was Homeless/Transient,Victim Characteristics
1219,Nude,Victim Characteristics
1220,Partially Nude,Victim Characteristics
1221,Missing Clothing/Jewelry,Victim Characteristics
1222,Victim was gay,Victim Characteristics
1223,Riding bike,Victim Characteristics
1224,Drive-through (not merchant),Victim Characteristics
1225,Stop sign/light,Victim Characteristics
1226,Catering Truck Operator,Victim Characteristics
1227,Delivery person,Victim Characteristics
1228,Leaving Business Area,Victim Characteristics
1229,Making bank drop,Victim Characteristics
1230,Postal employee,Victim Characteristics
1231,Taxi Driver,Victim Characteristics
1232,Bank - Arriving at,Victim Characteristics
1233,Bank - Leaving,Victim Characteristics
1234,Bar Customer,Victim Characteristics
1235,Bisexual/sexually oriented towards both sexes,Victim Characteristics
1236,Clerk/Employer/Owner,Victim Characteristics
1237,Victim was customer,Victim Characteristics
1238,Victim was physically disabled,Victim Characteristics
1239,Transgender,Victim Characteristics
1240,Vehicle occupant/Passenger,Victim Characteristics
1241,Spouse,Victim Characteristics
1242,Parent,Victim Characteristics
1243,Co-habitants,Victim Characteristics
1244,Victim was forced into business,Victim Characteristics
1245,Victim was forced into residence,Victim Characteristics
1247,Opening business,Victim Characteristics
1248,Closing business,Victim Characteristics
1251,Victim was a student,Victim Characteristics
1252,Victim was a street vendor,Victim Characteristics
1253,Bus Driver,Victim Characteristics
1254,Train Operator,Victim Characteristics
1255,Followed Transit System,Victim Characteristics
1256,Patron,Victim Characteristics
1257,Victim is Newborn-5 years old,Victim Characteristics
1258,Victim is 6 years old thru 13 years old,Victim Characteristics
1259,Victim is 14 years old thru 17 years old,Victim Characteristics
1260,Deaf/Hearing Impaired,Victim Characteristics
1261,Victim was mentally challenged/mentally disabled,Victim Characteristics
1262,Raped while unconscious,Victim Characteristics
